TF	TFAs Ave.(E)_A375	TFAs Ave.(IE)_A375	TTS_A375	p_val_A375	FDR_A375	negLog10_FDR_A375	TFAs Ave.(E)_HT29	TFAs Ave.(IE)_HT29	TTS_HT29	p_val_HT29	FDR_HT29	negLog10_FDR_HT29	TTS_SUM
NR5A1	0.298	0.108	1.971	5.001e-02	1.000e+00	-0.000	0.348	0.032	2.966	3.615e-03	1.000e+00	-0.000	4.937
SRSF1	0.085	-0.030	1.437	1.519e-01	1.000e+00	-0.000	0.316	-0.019	3.471	7.131e-04	4.471e-01	0.350	4.908
CREB5	0.288	0.176	1.339	1.818e-01	1.000e+00	-0.000	0.571	0.182	3.564	5.098e-04	3.197e-01	0.495	4.903
GZF1	0.081	-0.138	2.426	1.598e-02	1.000e+00	-0.000	0.100	-0.225	2.451	1.583e-02	1.000e+00	-0.000	4.877
HOXA11	0.081	-0.138	2.426	1.598e-02	1.000e+00	-0.000	0.100	-0.225	2.451	1.583e-02	1.000e+00	-0.000	4.877
TEF	0.109	-0.173	2.030	4.335e-02	1.000e+00	-0.000	0.266	-0.228	2.731	7.214e-03	1.000e+00	-0.000	4.761
SLC2A4RG	-0.036	-0.022	-0.593	5.535e-01	1.000e+00	-0.000	0.216	0.035	5.342	4.168e-07	2.614e-04	3.583	4.749
PKNOX1	0.035	0.061	-0.407	6.847e-01	1.000e+00	-0.000	0.646	0.203	5.145	1.138e-06	7.138e-04	3.146	4.738
HDAC1	0.006	-0.009	0.149	8.819e-01	1.000e+00	-0.000	0.353	-0.155	4.561	1.222e-05	7.665e-03	2.116	4.710
NR3C1	0.448	0.286	1.958	5.126e-02	1.000e+00	-0.000	0.356	0.065	2.704	7.850e-03	1.000e+00	-0.000	4.662
LEF1	0.387	0.140	2.844	4.782e-03	1.000e+00	-0.000	0.284	0.083	1.812	7.234e-02	1.000e+00	-0.000	4.656
CREBBP	0.426	0.263	1.925	5.547e-02	1.000e+00	-0.000	0.354	0.097	2.678	8.469e-03	1.000e+00	-0.000	4.603
IFI16	-0.174	-0.151	-0.196	8.447e-01	1.000e+00	-0.000	0.590	-0.006	4.795	5.349e-06	3.354e-03	2.474	4.599
RBMX	0.211	0.132	0.663	5.080e-01	1.000e+00	-0.000	0.746	0.065	3.920	1.582e-04	9.918e-02	1.004	4.583
TEAD1	0.330	0.013	3.219	1.461e-03	9.158e-01	0.038	0.107	-0.045	1.303	1.951e-01	1.000e+00	-0.000	4.522
NFATC1	0.091	-0.026	2.366	1.889e-02	1.000e+00	-0.000	0.137	0.013	2.143	3.379e-02	1.000e+00	-0.000	4.509
NUPR1	0.557	0.384	1.705	8.958e-02	1.000e+00	-0.000	0.337	0.054	2.761	6.547e-03	1.000e+00	-0.000	4.466
PDX1	0.053	-0.036	1.523	1.289e-01	1.000e+00	-0.000	0.186	-0.035	2.906	4.319e-03	1.000e+00	-0.000	4.429
AES	0.508	0.157	3.601	3.723e-04	2.335e-01	0.632	0.058	-0.032	0.764	4.460e-01	1.000e+00	-0.000	4.365
ZNF224	-0.047	-0.153	1.084	2.796e-01	1.000e+00	-0.000	0.569	0.180	3.222	1.598e-03	1.000e+00	-0.000	4.306
ATF6	0.170	0.058	1.915	5.654e-02	1.000e+00	-0.000	0.270	0.111	2.368	1.929e-02	1.000e+00	-0.000	4.283
FOXF1	0.107	0.115	-0.253	8.005e-01	1.000e+00	-0.000	0.193	0.003	4.428	1.986e-05	1.245e-02	1.905	4.175
FOXA2	0.184	0.095	0.940	3.484e-01	1.000e+00	-0.000	0.177	-0.137	3.197	1.735e-03	1.000e+00	-0.000	4.137
TRIM28	0.196	0.130	1.197	2.323e-01	1.000e+00	-0.000	0.316	0.113	2.847	5.203e-03	1.000e+00	-0.000	4.044
HDGF	0.009	-0.016	0.287	7.741e-01	1.000e+00	-0.000	0.472	0.050	3.745	2.744e-04	1.721e-01	0.764	4.032
NFATC2	0.391	0.203	3.245	1.338e-03	8.390e-01	0.076	0.151	0.107	0.754	4.518e-01	1.000e+00	-0.000	3.999
DLX3	0.185	-0.207	3.514	5.207e-04	3.265e-01	0.486	-0.194	-0.246	0.428	6.692e-01	1.000e+00	-0.000	3.942
PCBD1	0.435	-0.082	4.597	6.457e-06	4.048e-03	2.393	-0.215	-0.113	-0.656	5.130e-01	1.000e+00	-0.000	3.941
LHX4	0.052	0.042	0.268	7.890e-01	1.000e+00	-0.000	0.155	-0.021	3.657	3.773e-04	2.366e-01	0.626	3.925
EBF3	0.913	0.679	1.868	6.305e-02	1.000e+00	-0.000	0.392	0.121	2.039	4.384e-02	1.000e+00	-0.000	3.907
STAT6	0.287	-0.132	4.282	2.867e-05	1.798e-02	1.745	-0.287	-0.241	-0.390	6.976e-01	1.000e+00	-0.000	3.892
PML	0.068	0.205	-1.465	1.444e-01	1.000e+00	-0.000	0.564	0.144	5.331	3.433e-07	2.152e-04	3.667	3.866
HBP1	-0.204	-0.385	1.949	5.266e-02	1.000e+00	-0.000	0.166	-0.012	1.898	6.023e-02	1.000e+00	-0.000	3.847
NFYA	0.297	0.200	1.085	2.792e-01	1.000e+00	-0.000	0.486	0.184	2.729	7.418e-03	1.000e+00	-0.000	3.814
