TF	TFAs Ave.(E)	TFAs Ave.(IE)	TTS	p_val	FDR	negLog10_FDR
STAT5B	-0.3725570028137123	-0.15766554298223745	-2.1310100646779064	0.034854713189645975	1.0	-0.0
HDAC3	0.0036823949364754725	0.222581497703585	-2.1434899612336387	0.03427862453981447	1.0	-0.0
NRF1	-0.043008072347905574	0.18362971329175642	-2.1936728402642776	0.029984257454273317	1.0	-0.0
TOB1	-0.050011884323908865	0.07648396934690146	-2.201478208237847	0.02949221479562478	1.0	-0.0
EGR2	-0.4259533572199548	-0.19830161767845214	-2.2041865034754786	0.029400861010718055	1.0	-0.0
SMAD7	-0.14472330608074868	0.14252281907042688	-2.242113952203172	0.027130983983225925	1.0	-0.0
SMAD4	-0.24617032336676203	0.03296774841377288	-2.2747603866302897	0.024852463298473317	1.0	-0.0
ZNF143	-0.4326840772600714	-0.24791113926263236	-2.317119165586538	0.022355145816494334	1.0	-0.0
ESR1	-0.4174350983076017	-0.13829608023326756	-2.3200394378414906	0.02208415966867475	1.0	-0.0
SP2	-0.24739459065075842	0.08289175556976411	-2.3203732196205715	0.021920291764439583	1.0	-0.0
CRABP2	-0.09822534215202773	0.03574669632223238	-2.3375529539663376	0.02099098837946467	1.0	-0.0
HOXD9	-0.1325544260100006	-0.05687760066705119	-2.348814833794791	0.020298177006802486	1.0	-0.0
HOXB1	-0.16558749943969264	0.1621167248526811	-2.376761073349969	0.01895928131675361	1.0	-0.0
ZIC2	-0.16558749943969264	0.1621167248526811	-2.376761073349969	0.01895928131675361	1.0	-0.0
HOXB13	-0.16558749943969264	0.1621167248526811	-2.376761073349969	0.01895928131675361	1.0	-0.0
SMAD3	-0.3275494491389508	-0.04107900163326773	-2.3886931131973173	0.01864097602917751	1.0	-0.0
SNAI2	-0.47926791526407203	-0.14163058179278043	-2.4012728106651897	0.017956785008971306	1.0	-0.0
HDAC11	-0.12445003461175463	0.0692691867950567	-2.4092793336087612	0.017329447847481354	1.0	-0.0
BCL11A	-0.2968669373660144	-0.13105034255095838	-2.4124098277368184	0.017149227606512496	1.0	-0.0
HES6	-0.16310979093714323	0.07120713422943811	-2.426508687767743	0.01665615063392149	1.0	-0.0
EHMT2	-0.4007221380336526	-0.16196829292044418	-2.4313891034541792	0.01652953065108085	1.0	-0.0
ANKRD1	-0.12055363016785813	0.004867218547787046	-2.4327628887372614	0.016320357123333885	1.0	-0.0
TNFAIP3	-0.36760507672866555	-0.13874268071670387	-2.44372042509604	0.015998573789568718	1.0	-0.0
